address	name	classification
0x0000cc24	Reset_Handler__ADAFRUIT_CORE	CONFIRMED_ADAFRUIT_CORE
0x0000cc10	Dummy_Handler__ADAFRUIT_CORE	CONFIRMED_ADAFRUIT_CORE
0x0000cca4	SysTick_Handler__ADAFRUIT_CORE	CONFIRMED_ADAFRUIT_CORE
0x0000ccd0	millis__ADAFRUIT_CORE	CONFIRMED_ADAFRUIT_CORE
0x0000cd50	delay__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000cd90	main__ADAFRUIT_CORE	CONFIRMED_ADAFRUIT_CORE
0x00009464	sketch_setup__CUSTOM	CUSTOM_APPLICATION
0x000093fc	sketch_loop__CUSTOM	CUSTOM_APPLICATION
0x000099c2	SERCOM_transferDataSPI__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x00005898	digitalWrite_pulse__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000d388	digitalWrite_pulse_shared__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000e648	memcpy__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000e664	memset__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000db08	aeabi_fixed_math__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000dbdc	aeabi_fixed_math__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000de30	aeabi_fixed_math__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000dae8	aeabi_fixed_math__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000e13c	aeabi_fixed_math__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000e18c	aeabi_fixed_math__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x0000d61c	aeabi_fixed_math__STANDARD_LIBRARY	LIKELY_STANDARD_LIBRARY
0x00008258	ascii_dispatcher__CUSTOM	CUSTOM_APPLICATION
0x00007cc0	ll_move_state_machine__CUSTOM	CUSTOM_APPLICATION
0x00006fd8	motor_move_commit__CUSTOM	CUSTOM_APPLICATION
0x00008e18	phase_ramp_state_machine__CUSTOM	CUSTOM_APPLICATION
0x00008a80	channel_event_monitor__CUSTOM	CUSTOM_APPLICATION
0x000054e0	l_family_command_handler__CUSTOM	CUSTOM_APPLICATION
0x00007a98	mc_config_handler__CUSTOM	CUSTOM_APPLICATION
0x00007514	lcd_status_refresh__THIRD_PARTY	LIKELY_THIRD_PARTY_LIBRARY
0x0000610c	radio_bringup__THIRD_PARTY	LIKELY_THIRD_PARTY_LIBRARY
0x00009d88	radio_id_probe__THIRD_PARTY	LIKELY_THIRD_PARTY_LIBRARY
0x00009eac	radio_irq_flags_poll__THIRD_PARTY	LIKELY_THIRD_PARTY_LIBRARY
0x00009984	radio_reg_readwrite__THIRD_PARTY	LIKELY_THIRD_PARTY_LIBRARY
0x00007fdc	radio_rx_drain__THIRD_PARTY	LIKELY_THIRD_PARTY_LIBRARY
0x00004b64	config_loader__CUSTOM	CUSTOM_APPLICATION
0x00004b24	config_resync__CUSTOM	CUSTOM_APPLICATION
0x00009724	config_blob_lazy_init__CUSTOM	CUSTOM_APPLICATION
0x0000990e	config_blob_read__CUSTOM	CUSTOM_APPLICATION
0x000098d8	nvm_bulk_erase__UNKNOWN	UNKNOWN
0x0000977c	config_write_byte_dirty_setter__CUSTOM	CUSTOM_APPLICATION
0x00009768	config_read_byte__CUSTOM	CUSTOM_APPLICATION
0x00004370	d_command_write_u32__CUSTOM	CUSTOM_APPLICATION
0x000043ac	config_read_u32__CUSTOM	CUSTOM_APPLICATION
0x00004c20	boot_config_reader__CUSTOM	CUSTOM_APPLICATION
0x00005be8	tc0_isr_completion__CUSTOM	CUSTOM_APPLICATION
0x00005dd0	loop_housekeeping_save_trigger__CUSTOM	CUSTOM_APPLICATION
0x0000449c	channel0_move_complete__CUSTOM	CUSTOM_APPLICATION
0x000097a4	config_maybe_save__CUSTOM	CUSTOM_APPLICATION
0x000097f4	config_save_now__CUSTOM	CUSTOM_APPLICATION
0x000098f0	nvm_erase_call__UNKNOWN	UNKNOWN
0x0000984c	nvm_write_call__UNKNOWN	UNKNOWN
0x0000981c	nvm_param_object_ctor__CUSTOM	CUSTOM_APPLICATION
